x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.12361776,0.3216732,-0.29082754,0.47477594,-0.43636537,0.5414318,-0.55347025,0.57177377,-0.5389161,0.104859635,-0.71975917,0.05634569,-0.83287776,-0.002255823,-0.9189873,-0.060626764,-0.55725706,-0.083327785,-0.7573755,-0.11659942,-0.86358976,-0.16967602,-0.94739133,-0.22339045,-0.5514399,-0.25585333,-0.7381962,-0.2785879,-0.85714275,-0.30332795,-0.94209284,-0.33535236,-0.5032326,-0.45011795,-0.6797621,-0.4710916,-0.79144263,-0.46414745,-0.8826703,-0.44637764,Hello
0.0,0.0,-0.12565924,0.32690683,-0.28800616,0.48247418,-0.4353143,0.54649746,-0.5525043,0.56166345,-0.53201234,0.08645579,-0.7129118,0.033424135,-0.8249974,-0.023793815,-0.9112811,-0.083673626,-0.5477565,-0.10093106,-0.7467606,-0.13417903,-0.8575632,-0.18423429,-0.9430447,-0.23927142,-0.54247814,-0.2733853,-0.72804606,-0.29732051,-0.848173,-0.3200466,-0.93484366,-0.3550596,-0.49856424,-0.4656079,-0.6740253,-0.48725328,-0.78322744,-0.48100227,-0.8710054,-0.47038814,Hello
0.0,0.0,-0.120298475,0.31700155,-0.28891528,0.46742472,-0.4351212,0.53364354,-0.55270547,0.57218915,-0.52723104,0.10009241,-0.7039326,0.06879088,-0.81672287,0.022062488,-0.90710074,-0.030461809,-0.54843056,-0.091525406,-0.7454301,-0.11774583,-0.85523456,-0.1652896,-0.9411836,-0.21604285,-0.5433818,-0.26604956,-0.7286547,-0.28769836,-0.8501182,-0.30939296,-0.94006056,-0.3410076,-0.49604785,-0.46135253,-0.67115694,-0.4841162,-0.7839125,-0.47712037,-0.87846553,-0.45982796,Hello
0.0,0.0,-0.12184226,0.33206445,-0.29162586,0.48463628,-0.4341152,0.5496986,-0.5478173,0.5786514,-0.5219164,0.10269022,-0.7008484,0.07799701,-0.8159087,0.037185594,-0.9072402,-0.010563276,-0.54372185,-0.089177944,-0.74009466,-0.11077719,-0.8529787,-0.1540321,-0.9426921,-0.20425889,-0.53938043,-0.2664291,-0.7237421,-0.28478828,-0.84729,-0.30613703,-0.9401154,-0.34085634,-0.49382135,-0.46165738,-0.66913015,-0.4842893,-0.7833006,-0.47438604,-0.87921256,-0.45616534,Hello
0.0,0.0,-0.11617079,0.32689798,-0.27751532,0.4741782,-0.4254864,0.5299628,-0.53916377,0.55326825,-0.5136265,0.08057507,-0.693599,0.03277965,-0.80994505,-0.023768978,-0.89853555,-0.08523209,-0.5354095,-0.10845069,-0.73518723,-0.1412787,-0.84815556,-0.19019462,-0.937294,-0.24701901,-0.53251535,-0.28571752,-0.7197562,-0.30949596,-0.84163994,-0.33282614,-0.9304115,-0.3665167,-0.48872706,-0.47939768,-0.6654703,-0.50338686,-0.7796616,-0.4901199,-0.8716289,-0.4647828,Hello
0.0,0.0,-0.12528147,0.31847695,-0.2868535,0.4662117,-0.42827204,0.5342738,-0.5399578,0.5590847,-0.5418711,0.09528389,-0.7195738,0.04731448,-0.82827395,-0.012806505,-0.91282713,-0.07613501,-0.5613062,-0.09730021,-0.7629095,-0.12504447,-0.86767954,-0.17895313,-0.9423247,-0.23451333,-0.55365497,-0.26765567,-0.7427487,-0.2909596,-0.85769284,-0.31614298,-0.93530566,-0.35384092,-0.50220007,-0.45852417,-0.67820525,-0.4832711,-0.7881595,-0.48094496,-0.8780534,-0.47009104,Hello
0.0,0.0,-0.1206236,0.31627285,-0.28767094,0.46530557,-0.43443212,0.5266902,-0.54843473,0.5513957,-0.5262971,0.08592099,-0.7054607,0.04567049,-0.81764925,-0.004499204,-0.9067396,-0.059987064,-0.54771334,-0.10296577,-0.74674046,-0.12775841,-0.8573113,-0.1771956,-0.9416052,-0.23188505,-0.54320157,-0.2763754,-0.7296401,-0.2933025,-0.8496282,-0.31709296,-0.9354378,-0.35349128,-0.49811837,-0.4691043,-0.67421734,-0.48928264,-0.78605384,-0.48276687,-0.87736356,-0.46870556,Hello
0.0,0.0,-0.11806159,0.32833484,-0.27645496,0.47895485,-0.41927105,0.54306924,-0.53761154,0.5686498,-0.51484215,0.087192215,-0.696665,0.045838095,-0.8092494,-0.0043751923,-0.9000236,-0.05796795,-0.53591603,-0.10369148,-0.7373818,-0.130858,-0.84889954,-0.17684357,-0.93373847,-0.22915807,-0.53409255,-0.27866742,-0.7230107,-0.29974473,-0.8469132,-0.31930885,-0.9357881,-0.35256296,-0.49124706,-0.47490567,-0.66781354,-0.49633726,-0.78078806,-0.48667017,-0.87181306,-0.46877742,Hello
0.0,0.0,-0.115618214,0.33156526,-0.2769212,0.48804596,-0.4219309,0.5538266,-0.544925,0.6004646,-0.5273395,0.09609825,-0.7085534,0.03421727,-0.818508,-0.03347609,-0.9038373,-0.101032205,-0.5442724,-0.09646356,-0.74132085,-0.14240482,-0.85244584,-0.19729297,-0.94033116,-0.2575545,-0.5362567,-0.27105433,-0.72038805,-0.30728263,-0.84073955,-0.3370346,-0.9284567,-0.3714405,-0.48870936,-0.46045738,-0.6638707,-0.4878377,-0.77614003,-0.4822364,-0.86651874,-0.46513766,Hello
0.0,0.0,-0.123123065,0.3256202,-0.27900958,0.47180974,-0.4171896,0.52543825,-0.5377989,0.5610075,-0.514391,0.06251464,-0.69073516,0.011179346,-0.8021455,-0.049859256,-0.8846867,-0.11369369,-0.52984804,-0.1257806,-0.72885907,-0.16513488,-0.8420755,-0.20957716,-0.9320666,-0.26297325,-0.52461743,-0.29853338,-0.71120256,-0.33045357,-0.8343165,-0.3505196,-0.9252958,-0.3792462,-0.48038357,-0.4857354,-0.655254,-0.51391596,-0.76994234,-0.50195056,-0.86311877,-0.47771242,Hello
0.0,0.0,-0.119867206,0.3565805,-0.28672546,0.5263315,-0.43057948,0.59475875,-0.55362034,0.63889486,-0.5170079,0.11590196,-0.6993985,0.07723194,-0.8122709,0.019276455,-0.8997565,-0.04196664,-0.53833044,-0.08679046,-0.74092674,-0.11514555,-0.855021,-0.16029935,-0.9469831,-0.21676995,-0.5366329,-0.27337274,-0.7250923,-0.29489294,-0.8470922,-0.313524,-0.9375389,-0.34788042,-0.4933673,-0.48007345,-0.6723037,-0.502976,-0.78267795,-0.4939395,-0.87243396,-0.47820306,Hello
0.0,0.0,-0.13445361,0.33410954,-0.29735255,0.49640214,-0.44222158,0.56357676,-0.56069034,0.5873483,-0.53238815,0.09209463,-0.7070811,0.050339088,-0.8151638,-0.006167226,-0.89515954,-0.06475348,-0.5509759,-0.10445716,-0.7480644,-0.13627933,-0.85616153,-0.1825854,-0.9416346,-0.23444977,-0.5487253,-0.2836169,-0.73305136,-0.30930302,-0.8497649,-0.32578108,-0.9350113,-0.3546179,-0.5051057,-0.48331016,-0.6809273,-0.50940746,-0.79028624,-0.4968599,-0.87751997,-0.47650734,Hello
0.0,0.0,-0.13148904,0.34054285,-0.28917903,0.499171,-0.43124497,0.56701237,-0.5514442,0.5883051,-0.5261161,0.094567604,-0.70028603,0.05677489,-0.8087913,0.001985553,-0.890484,-0.05815161,-0.54433995,-0.10348019,-0.7437621,-0.1330286,-0.85285926,-0.17737594,-0.938192,-0.2283448,-0.54152125,-0.28353858,-0.72813445,-0.3105076,-0.8478766,-0.32500702,-0.9325056,-0.35383892,-0.49810067,-0.48290518,-0.67448556,-0.50814235,-0.78676164,-0.4971856,-0.8771486,-0.48021895,Hello
0.0,0.0,-0.12699541,0.32853442,-0.28090402,0.47992045,-0.41561607,0.544603,-0.5382831,0.5809826,-0.5227456,0.08720987,-0.6992485,0.05192062,-0.80367416,-0.0007279801,-0.8869664,-0.059130866,-0.54282826,-0.110983655,-0.74230236,-0.1361202,-0.8504972,-0.17971788,-0.92943954,-0.23066631,-0.5402893,-0.2913553,-0.72734255,-0.3149242,-0.8456705,-0.33045223,-0.9296252,-0.36055726,-0.49563932,-0.49496502,-0.67193717,-0.5225806,-0.7827339,-0.51078194,-0.8721837,-0.48917863,Hello
0.0,0.0,-0.12375114,0.33763725,-0.28323328,0.4916354,-0.423301,0.5569755,-0.54499143,0.5907359,-0.5265534,0.10152337,-0.701169,0.07004813,-0.80737484,0.026676359,-0.8933765,-0.024021547,-0.54706645,-0.09816918,-0.7463321,-0.12399564,-0.8564131,-0.1664566,-0.9384154,-0.21460915,-0.5415172,-0.2802442,-0.7314447,-0.30450067,-0.85315377,-0.31759548,-0.93924475,-0.3432481,-0.49532303,-0.48295924,-0.672185,-0.50726616,-0.7868232,-0.49394724,-0.88144207,-0.4710822,Hello
